team,team_code,url
Brandon Wheat Kings,BDN,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Brandon_Wheat_Kings_logo.svg/1200px-Brandon_Wheat_Kings_logo.svg.png
Calgary Hitmen,CGY,https://chl-wordpress-uploads.s3.amazonaws.com/app/uploads/calgaryhitmen/CALGARY_HITMEN_logo.png
Edmonton Oil Kings,EDM,http://www.stickpng.com/assets/images/5a58e6379538462e5a82d47f.png
Everett Silvertips,EVT,https://vignette.wikia.nocookie.net/logopedia/images/e/e5/Everett_Silvertips.png/revision/latest?cb=20100927134203
Kamloops Blazers,KAM,http://assets.stickpng.com/thumbs/5a58e65d9538462e5a82d484.png
Kelowna Rockets,KEL,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Kelowna_Rockets_logo.svg/1200px-Kelowna_Rockets_logo.svg.png
Winnipeg ICE,WPG,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Kootenay_ICE.png/220px-Kootenay_ICE.png
Lethbridge Hurricanes,LET,http://www.stickpng.com/assets/images/5a58e6929538462e5a82d48a.png
Medicine Hat Tigers,MH,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Medicine_Hat_Tigers_Logo.svg/1200px-Medicine_Hat_Tigers_Logo.svg.png
Moose Jaw Warriors,MJ,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Moose_Jaw_Warriors_logo.svg/220px-Moose_Jaw_Warriors_logo.svg.png
Portland Winterhawks,POR,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Portland_Winterhawks_Logo.svg/1200px-Portland_Winterhawks_Logo.svg.png
Prince Albert Raiders,PA,http://assets.stickpng.com/thumbs/5a58e6ce9538462e5a82d491.png
Prince George Cougars,PG,https://upload.wikimedia.org/wikipedia/en/5/55/Prince_George_Cougars_logo_2015.png
Red Deer Rebels,RD,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Red_Deer_Rebels_logo.svg/1200px-Red_Deer_Rebels_logo.svg.png
Regina Pats,REG,https://upload.wikimedia.org/wikipedia/en/d/d0/Regina_Pats_logo.png
Saskatoon Blades,SAS,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/PacMan_Logo_W_Text.png/220px-PacMan_Logo_W_Text.png
Seattle Thunderbirds,SEA,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Seattle_Thunderbirds_logo.svg/1200px-Seattle_Thunderbirds_logo.svg.png
Spokane Chiefs,SPO,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Spokane_Chiefs_logo.svg/1200px-Spokane_Chiefs_logo.svg.png
Swift Current Broncos,SC,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/SwiftCurrentBroncos.PNG/220px-SwiftCurrentBroncos.PNG
Tri-City Americans,TC,https://upload.wikimedia.org/wikipedia/en/8/80/Tri-City_Americans_logo.png
Vancouver Giants,VAN,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Vancouver_Giants_Logo.svg/1200px-Vancouver_Giants_Logo.svg.png
Victoria Royals,VIC,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/VictoriaRoyals.PNG/220px-VictoriaRoyals.PNG
Chilliwack Bruins,CHW,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Chilliwack_Bruins_Logo.svg/220px-Chilliwack_Bruins_Logo.svg.png